G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
1,0,0,1,-151.2918124,-9.677451563,85.80016226,0.400749853,-0.132934945,-0.267814907
1,0,0,1,-336.1861826,-76.28326195,18.32889658,0.312731934,-0.123633156,-0.189098779
1,0,0,1,-502.891583,-174.6480233,-80.92466346,0.265728444,-0.114300749,-0.151427695
1,0,0,1,-593.9419049,-217.7033594,-124.8919239,0.235510535,-0.104940254,-0.130570281
1,0,0,1,-643.6636173,-224.1594274,-132.2828154,0.20953688,-0.095553751,-0.113983129
1,0,0,1,-632.3127776,-181.714572,-90.79545335,0.193116164,-0.086143789,-0.106972375
1,0,0,1,-557.3918085,-119.4686428,-29.52944976,0.210003736,-0.076712453,-0.133291283
1,0,0,1,-458.799929,-96.31892202,-7.381846513,0.273651632,-0.067262311,-0.206389321
1,0,0,1,-385.6687288,-97.9898386,-10.07682386,0.334648677,-0.057795449,-0.276853228
1,0,0,1,-359.9293378,-87.31947781,-0.452215736,0.347420278,-0.048314452,-0.299105825
1,0,0,1,-370.6274975,-66.72024929,19.07982753,0.323889037,-0.038821408,-0.285067629
1,0,0,1,-418.5368051,-49.02235371,35.68936732,0.274573699,-0.029318913,-0.245254786
1,0,0,1,-501.663179,-55.26363629,28.33882818,0.21780926,-0.019809055,-0.198000205
1,0,0,1,-597.9307169,-96.59776613,-14.12518651,0.179217168,-0.01029444,-0.168922728
1,0,0,1,-668.7147405,-136.7722785,-55.44993205,0.160161944,-0.000777153,-0.159384792
1,0,0,1,-695.7762888,-141.5324757,-61.38042808,0.147640959,0.008740193,-0.156381152
1,0,0,1,-689.3620577,-118.6589244,-39.69695143,0.139481802,0.018255517,-0.157737319
1,0,0,1,-657.620238,-87.18732268,-9.434907575,0.143773048,0.0277662,-0.171539248
1,0,0,1,-608.7362399,-64.94907999,11.5745935,0.167517877,0.03727017,-0.204788047
1,0,0,1,-562.5856125,-60.91784627,14.35820396,0.201832401,0.046764805,-0.248597207
1,0,0,1,-540.0490857,-61.82015586,12.18969836,0.2204049,0.056248042,-0.276652942
1,0,0,1,-547.0155778,-53.87059325,18.85480361,0.208581016,0.06571726,-0.274298276
1,0,0,1,-576.131384,-42.94978701,28.47320904,0.177477587,0.075170404,-0.252647991
1,0,0,1,-620.1411477,-42.15086616,27.95210601,0.143300043,0.084604859,-0.227904902
1,0,0,1,-671.4912391,-57.20307281,11.56257908,0.116329729,0.094018582,-0.210348312
1,0,0,1,-716.5665004,-79.85244453,-12.44108032,0.100397176,0.103408963,-0.203806139
1,0,0,1,-739.9866393,-90.91789667,-24.87745246,0.092265725,0.112773976,-0.205039701
1,0,0,1,-738.1559148,-81.59280048,-16.93957125,0.08762625,0.122111016,-0.209737266
1,0,0,1,-719.6744489,-62.48158713,0.768475329,0.087876048,0.131418075,-0.219294123
1,0,0,1,-694.3192701,-47.92105917,13.91023005,0.096317423,0.140692559,-0.237009982
1,0,0,1,-669.6007287,-43.30994638,17.08731404,0.111129762,0.14993248,-0.261062242
1,0,0,1,-654.1055685,-44.78447582,14.16385325,0.122624806,0.159135256,-0.281760062
1,0,0,1,-654.5536268,-44.53472324,12.95013023,0.119844459,0.16829892,-0.288143378
1,0,0,1,-670.7023217,-40.46408501,15.5431089,0.101782601,0.177420906,-0.279203507
1,0,0,1,-696.3007298,-38.61234408,15.90337169,0.078339873,0.186499269,-0.264839142
1,0,0,1,-724.5952479,-44.50652386,8.504262436,0.059087746,0.195531463,-0.254619209
1,0,0,1,-749.5639267,-55.91185509,-4.419077557,0.046813184,0.204515566,-0.25132875
1,0,0,1,-765.0091072,-64.41345483,-14.45139151,0.039568703,0.213449054,-0.253017757
1,0,0,1,-766.5480145,-62.7524637,-14.33344168,0.034988544,0.222330031,-0.257318575
1,0,0,1,-755.860827,-52.33045787,-5.46642417,0.032738472,0.231155997,-0.263894469
1,0,0,1,-739.5017946,-41.59137732,3.706105344,0.034194632,0.239925084,-0.274119716
1,0,0,1,-724.0423069,-36.90443023,6.815324581,0.039087255,0.248634816,-0.287722071
1,0,0,1,-713.6556402,-37.54192654,4.589313497,0.043598476,0.257283359,-0.300881834
1,0,0,1,-711.1845619,-38.96511537,1.567214312,0.042108627,0.265868263,-0.30797689
1,0,0,1,-717.61174,-38.33916184,0.58425701,0.03190515,0.274387727,-0.306292876
1,0,0,1,-730.8728844,-37.25322272,0.051681202,0.016042159,0.28283933,-0.298881489
1,0,0,1,-746.4500891,-39.14069498,-3.463510161,0.000792353,0.291221307,-0.29201366
1,0,0,1,-759.9000138,-44.53652324,-10.49586063,-0.010052517,0.299531269,-0.289478752
1,0,0,1,-767.9065583,-49.71114859,-17.31540699,-0.01693867,0.307767487,-0.290828817
1,0,0,1,-768.5003624,-50.20716439,-19.46433724,-0.02191406,0.315927607,-0.294013547
1,0,0,1,-761.6230144,-45.06257839,-15.98025082,-0.025736922,0.324009937,-0.298273015
1,0,0,1,-750.0336792,-37.83102673,-10.41637462,-0.027847196,0.332012162,-0.304164967
1,0,0,1,-737.9861907,-33.08663043,-7.34641774,-0.028040425,0.339932629,-0.311892205
1,0,0,1,-728.9864058,-32.24585197,-8.186429972,-0.027964556,0.347769062,-0.319804506
1,0,0,1,-724.6359995,-33.14378583,-10.77109063,-0.030487631,0.355519849,-0.325032218
1,0,0,1,-725.2337422,-33.3245196,-12.64407157,-0.037629334,0.363182755,-0.325553422
1,0,0,1,-729.9138263,-32.63687725,-13.65377881,-0.048690644,0.370756214,-0.32206557
1,0,0,1,-736.6044016,-32.80984188,-15.52877705,-0.06064433,0.378238031,-0.317593702
1,0,0,1,-742.4392962,-34.86805324,-19.29328571,-0.070478374,0.385626687,-0.315148313
1,0,0,1,-745.0419835,-37.53688395,-23.67225676,-0.077414874,0.392920032,-0.315505158
1,0,0,1,-743.1712515,-38.24657839,-26.0955123,-0.082559797,0.400116593,-0.317556796
1,0,0,1,-736.9026314,-35.69248742,-25.2579807,-0.087034503,0.407214268,-0.320179765
